,Dataset,Fold,Method,Metric,Patient,Performance
195,V-23_24,1,MMSBM,Recall,130,0.7
196,V-23_24,1,MMSBM,Precision,130,0.6363636357851239
197,V-23_24,1,MMSBM,Accuracy,130,0.7083333333333334
198,V-23_24,0,MMSBM,Recall,130,0.5454545454545454
199,V-23_24,0,MMSBM,Precision,130,0.7499999990624999
200,V-23_24,0,MMSBM,Accuracy,130,0.7083333333333333
201,V-23_24,3,MMSBM,Recall,130,0.7142857142857143
202,V-23_24,3,MMSBM,Precision,130,0.8333333319444445
203,V-23_24,3,MMSBM,Accuracy,130,0.8695652173913043
204,V-23_24,2,MMSBM,Recall,130,0.5714285714285714
205,V-23_24,2,MMSBM,Precision,130,0.4444444439506172
206,V-23_24,2,MMSBM,Accuracy,130,0.6666666666666666
207,V-23_24,4,MMSBM,Recall,130,0.625
208,V-23_24,4,MMSBM,Precision,130,0.8333333319444445
209,V-23_24,4,MMSBM,Accuracy,130,0.8260869565217391
210,V-23_24,1,MMSBM,Recall,137,0.6363636363636364
211,V-23_24,1,MMSBM,Precision,137,0.8749999989062499
212,V-23_24,1,MMSBM,Accuracy,137,0.7916666666666667
213,V-23_24,0,MMSBM,Recall,137,0.6
214,V-23_24,0,MMSBM,Precision,137,0.4285714279591837
215,V-23_24,0,MMSBM,Accuracy,137,0.75
216,V-23_24,3,MMSBM,Recall,137,0.5
217,V-23_24,3,MMSBM,Precision,137,0.7499999981250001
218,V-23_24,3,MMSBM,Accuracy,137,0.8260869565217391
219,V-23_24,2,MMSBM,Recall,137,0.42857142857142855
220,V-23_24,2,MMSBM,Precision,137,0.7499999981250001
221,V-23_24,2,MMSBM,Accuracy,137,0.7916666666666666
222,V-23_24,4,MMSBM,Recall,137,0.6666666666666666
223,V-23_24,4,MMSBM,Precision,137,0.571428570612245
224,V-23_24,4,MMSBM,Accuracy,137,0.782608695652174
225,V-23_24,1,MMSBM,Recall,136,0.8181818181818182
226,V-23_24,1,MMSBM,Precision,136,0.8181818174380164
227,V-23_24,1,MMSBM,Accuracy,136,0.8333333333333333
228,V-23_24,0,MMSBM,Recall,136,0.75
229,V-23_24,0,MMSBM,Precision,136,0.4999999995833333
230,V-23_24,0,MMSBM,Accuracy,136,0.6666666666666667
231,V-23_24,3,MMSBM,Recall,136,0.6
